MD-MVM Id,Nationellt övervakningsstations-ID,Övervakningsstation,Stationskoordinat N/X,Stationskoordinat E/Y,Län,Kommun,MS_CD C3,ProvId,Provdatum,Provtagningsår,Provtagningsmånad,Provtagningsdag,SeasonType,Season,Season priority,Season cleaning,Max provdjup (m),TOC (mg/l C),DOC (mg/l C),Tot-N_ps (µg/l N),Tot-N_TNb (µg/l N),Abs_F 254 (/5cm),Abs_F 365 (/5cm),Abs_F 420 (/5cm),Abs_F 436 (/m),Abs_OF 420 (/5cm),Turb_FNU (FNU),Kfyll (µg/l),pH,Kond_25 (mS/m),Alk/Acid (mekv/l),Ca (mekv/l),Mg (mekv/l),Na (mekv/l),K (mekv/l),SO4 (mekv/l),Cl (mekv/l),F (mekv/l),NH4-N (µg/l N),NO2+NO3-N (µg/l N),PO4-P (µg/l P),Tot-P (µg/l P),Si (mg/l),Fe (µg/l),Al (µg/l),Al_s (µg/l),Syrgashalt (mg/l O2),Siktdjup (m),Siktdjup med kikare (m),Siktdjup utan kikare (m),Vattentemperatur (°C)
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22500,2006-02-20,2006,2,20,1,1,1,0,0.5,3.6,,315,,,,0.028,,0.033,,0.7,6.63,3.32,0.108,0.15,0.064,0.084,0.013,0.109,0.036,0.0089,63,52,3,9,1.99,37,,,,8.5,,,0.6
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22503,2006-05-21,2006,5,21,1,2,2,0,0.5,4.6,,417,,,,0.031,,0.038,,0.8,6.56,2.66,0.081,0.131,0.054,0.067,0.011,0.094,0.025,0.0079,3,36,4,4,1.57,53,,,,9.3,,,10.5
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22504,2006-08-12,2006,8,12,1,3,1,0,0.5,4.2,,203,,,,0.015,,0.022,,2.9,7.07,2.8,0.098,0.131,0.056,0.067,0.011,0.095,0.029,0.0089,2,1,3,3,1.28,15,,,,9,,,20.7
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22505,2006-10-24,2006,10,24,1,4,1,0,0.5,4.2,,280,,,,0.033,,0.04,,3.7,6.52,2.82,0.093,0.135,0.056,0.066,0.011,0.094,0.028,0.0084,13,1,2,4,0.94,28,,,,8,,,
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22506,2007-03-06,2007,3,6,1,1,2,0,0.5,5.5,,,291,,,0.041,,0.046,,0.7,6.51,3.15,0.096,0.144,0.06,0.076,0.013,0.104,0.039,0.0084,35,18,2,3,2.42,34,,,,6.5,,,0.6
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22507,2007-04-25,2007,4,25,1,2,1,0,0.5,4.1,,,173,,,0.043,,0.047,,0.9,6.61,2.86,0.088,0.135,0.056,0.071,0.011,0.094,0.03,0.0074,12,25,2,8,2.62,46,,,,8.5,,,8.8
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22508,2007-08-18,2007,8,18,1,3,1,0,0.5,4.1,,,169,,,0.022,,0.032,,5.7,6.79,2.86,0.09,0.131,0.054,0.069,0.011,0.095,0.026,0.0084,3,1,1,3,2.27,27,,,,6,,,17.8
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22509,2007-10-12,2007,10,12,1,4,1,0,0.5,4.3,,,155,,,0.022,,0.05,,1.1,6.73,2.95,0.1,0.136,0.055,0.071,0.011,0.099,0.031,0.0089,5,3,1,3,2.08,38,,,,6.6,,,8.4
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22510,2008-02-19,2008,2,19,1,1,1,0,0.5,5.4,,,608,,,0.034,,0.047,,0.4,6.47,3.31,0.085,0.134,0.06,0.078,0.013,0.106,0.045,0.0084,55,84,7,7,2.55,47,,,,8.2,,,1
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22511,2008-05-06,2008,5,6,1,2,2,0,0.5,4.1,,,169,,,0.033,,0.041,,0.7,6.39,2.84,0.089,0.124,0.052,0.059,0.01,0.097,0.029,0.0084,6,25,3,2,2.6,38,,,,8,,,9.5
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22512,2008-08-16,2008,8,16,1,3,1,0,0.5,4.4,,,222,,,0.02,,0.035,,1,6.87,2.91,0.094,0.133,0.058,0.066,0.011,0.098,0.033,0.0089,10,2,2,5,2.3,29,,,,7.1,,,17.2
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22513,2008-10-21,2008,10,21,1,4,1,0,0.5,3.8,,,149,,,0.019,,0.034,,1.7,6.64,2.94,0.095,0.135,0.057,0.067,0.01,0.098,0.03,0.0084,7,2,2,4,2.06,53,,,,7,,,7.9
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22514,2009-03-12,2009,3,12,1,1,2,0,0.5,5.9,,,301,,,0.029,,0.038,,0.5,6.64,3.59,0.106,0.154,0.059,0.082,0.012,0.116,0.039,0.0089,30,68,2,3,2.35,36,,,,6.8,,,0.5
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22515,2009-05-13,2009,5,13,1,2,2,0,0.5,4.1,,,169,,,0.026,,0.038,,1,6.69,2.9,0.091,0.13,0.057,0.062,0.01,0.101,0.03,0.0084,4,25,2,2,2.23,32,,,,7.4,,,11.1
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22516,2009-08-18,2009,8,18,1,3,1,0,0.5,5.2,,,200,,,0.05,,0.06,,2.1,6.67,2.65,0.085,0.129,0.054,0.062,0.009,0.09,0.029,0.0084,5,1,2,4,2.01,48,,,,5,,,17
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22517,2009-10-21,2009,10,21,1,4,1,0,0.5,4.4,,,196,,,0.035,,0.049,,2,6.62,2.8,0.095,0.13,0.055,0.064,0.009,0.093,0.032,0.0084,10,13,2,4,2.38,47,,,,5.7,,,5.6
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22518,2010-03-11,2010,3,11,1,1,2,0,0.5,5.7,,,532,,,0.043,,0.062,0.98,0.3,6.42,3.46,0.101,0.146,0.065,0.084,0.014,0.103,0.047,0.0084,54,68,3,8,2.87,53,,,,6.5,,,0.5
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22519,2010-05-26,2010,5,26,1,2,2,0,0.5,5.5,,,196,,,0.054,,0.063,0.62,1.2,6.62,2.86,0.081,0.128,0.05,0.06,0.011,0.09,0.029,0.0079,7,39,2,5,2.55,50,,,,7,,,13.6
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22520,2010-08-10,2010,8,10,1,3,1,0,0.5,4.8,,,204,,,0.034,,,0.58,1.7,6.74,2.81,0.086,0.122,0.049,0.06,0.01,0.084,0.03,0.0084,8,1,3,5,2.44,35,,,,5.8,,,20
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22521,2010-10-19,2010,10,19,1,4,1,0,0.5,5.1,,,225,,,0.041,,,0.36,3.9,6.63,2.84,0.093,0.129,0.052,0.061,0.01,0.085,0.031,0.0089,11,80,4,4,2.54,43,,,,7.4,,,6.8
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22522,2011-02-21,2011,2,21,1,1,1,0,0.5,5.8,,,436,,,0.059,,,0.44,0.6,6.5,3.45,0.109,0.15,0.063,0.08,0.014,0.098,0.04,0.0095,37,62,3,5,3.05,26,,,,7.8,,,1
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22523,2011-05-19,2011,5,19,1,2,2,0,0.5,5.1,,,267,,,0.037,,,0.65,3.1,6.86,2.66,0.088,0.118,0.052,0.06,0.012,0.083,0.031,0.0084,3,80,3,4,2.63,35,,,,5.4,,,12.9
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,278807,2011-08-11,2011,8,11,1,3,1,0,0.5,5.7,,,259,,,0.03,,,0.79,2.5,6.8,2.58,0.096,0.119,0.054,0.063,0.012,0.082,0.031,0.0084,10,1,2,4,1.78,38,,,,4.7,,,19.2
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,278806,2011-10-19,2011,10,19,1,4,1,0,0.5,5.4,,,245,,,0.038,,,0.65,0.9,6.67,3.06,0.106,0.137,0.06,0.067,0.013,0.08,0.032,0.0089,20,35,2,3,2.13,69,,,,,,,7.5
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,278432,2012-02-21,2012,2,21,1,1,1,0,0.5,5.9,,,569,,,0.044,,,0.34,0.7,6.46,3.6,0.12,0.154,0.068,0.083,0.017,0.093,0.04,0.0089,56,110,1,5,2.75,53,,,,6.8,,,0.7
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,278433,2012-05-16,2012,5,16,1,2,2,0,0.5,4.4,,,308,,,0.035,,,0.39,1.2,6.68,2.79,0.104,0.134,0.059,0.066,0.013,0.08,0.03,0.0084,15,122,2,4,2.48,44,,,,7.7,,,8.7
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,278434,2012-08-27,2012,8,27,1,3,1,0,0.5,6.2,,,313,,,0.05,,,0.77,3.8,6.75,2.66,0.104,0.12,0.055,0.062,0.012,0.07,0.027,0.0084,15,15,1,5,1.65,53,,,,4.6,,,17.9
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,278431,2012-10-23,2012,10,23,1,4,1,0,0.5,5.1,,,295,,,0.051,,,0.7,1.1,6.59,2.83,0.109,0.121,0.058,0.063,0.013,0.074,0.029,0.0079,25,80,2,4,2.22,72,,,,5,,,7.2
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,248388,2013-02-25,2013,2,25,1,1,1,0,0.5,5.8,,,425,0.832,0.146,0.055,0.86,,0.41,1.2,6.58,3.23,0.116,0.137,0.058,0.077,0.016,0.088,0.037,0.0095,38,140,2,5,2.91,49,63,,,,,6.6,0.7
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,248418,2013-05-05,2013,5,5,1,2,2,0,0.5,4.8,,,350,0.678,0.118,0.045,0.7,,0.24,1.5,6.46,3.18,0.1,0.118,0.057,0.081,0.0139,0.078,0.052,0.0079,15,156,2,4,2.72,59,58,,,,,6.5,9
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,248462,2013-08-10,2013,8,10,1,3,1,0,0.5,5,,,212,0.534,0.074,0.026,0.4,,0.76,2.8,7.19,2.77,0.112,0.103,0.049,0.059,0.0123,0.079,0.028,0.0084,1.5,0.5,2,3,1.66,14,26,,,,,6.4,20.4
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,248524,2013-10-08,2013,10,8,1,4,1,0,0.5,4.9,,,237,0.698,0.128,0.052,0.82,,0.38,,6.68,2.77,0.117,0.119,0.056,0.063,0.0133,0.08,0.029,0.0084,9,26,1,3,1.78,15,27,,,,,7.8,10
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,239414,2014-02-17,2014,2,17,1,1,1,0,0.5,4.4,,,356,0.514,0.075,0.027,0.4,,0.54,0.9,6.57,3.05,0.1,0.117,0.056,0.071,0.0131,0.081,0.037,0.0079,41,140,3,3.3,1.8,25,31,,,,,,1.8
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,240252,2014-04-20,2014,4,20,1,2,1,0,0.5,4.4,,,305,0.542,0.083,0.031,0.46,,0.56,1.6,6.58,2.76,0.103,0.125,0.059,0.066,0.0138,0.083,0.03,0.0084,7,116,1,3.6,2.3,37,49,,,,,7.7,7
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,240320,2014-08-12,2014,8,12,1,3,1,0,0.5,5.2,,,210,0.444,0.056,0.02,0.32,,0.56,2.5,7.08,2.87,0.117,0.129,0.057,0.066,0.0142,0.084,0.03,0.0084,8,1.5,1.5,6.4,1.5,17,27,,,,,4.7,21
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,253499,2014-10-10,2014,10,10,1,4,1,0,0.5,4.3,,,191,0.417,0.056,0.02,0.3,,0.82,1.8,6.77,2.92,0.124,0.127,0.057,0.064,0.0141,0.082,0.03,0.0084,16,8,1.5,8.3,1.4,17,22,,,,,7,10.5
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,284317,2015-02-22,2015,2,22,1,1,1,0,0.5,4.8,,,332,0.601,0.093,0.035,0.54,,0.35,0.25,6.51,3.18,0.113,0.132,0.062,0.071,0.0161,0.09,0.037,0.0084,49,104,1.5,3.8,2.1,37,48,,,,,6.3,1.5
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,302143,2015-04-07,2015,4,7,1,2,1,0,0.5,4.4,,,222,0.575,0.097,0.035,0.54,,0.56,3.1,6.26,2.55,0.095,0.119,0.054,0.059,0.0138,0.073,0.029,0.0068,12,50,1.5,4,2,140,120,,,,,6.5,5.1
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,340569,2015-08-11,2015,8,11,1,3,1,0,0.5,4.8,,,187,0.727,0.126,0.049,0.76,,0.48,2,6.81,2.68,0.106,0.11,0.051,0.06,0.0127,0.079,0.03,0.0084,4,1.5,2,2.7,1.9,23,36,,,,,4.5,18.7
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,351675,2015-10-14,2015,10,14,1,4,1,0,0.5,4.8,,,245,0.564,0.086,0.031,0.48,,0.55,1.7,6.68,2.86,0.112,0.121,0.056,0.063,0.0132,0.079,0.031,0.0079,14,18,2,3.9,2,30,41,,,,,7.2,9.8
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,383541,2016-02-17,2016,2,17,1,1,1,0,0.5,5,,,361,0.604,0.094,0.034,0.52,,0.45,1.8,6.63,3.21,0.122,0.13,0.059,0.078,0.014,0.089,0.039,0.0084,37,74,2,5.4,2.3,30,41,,,,,,1.1
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,478215,2016-04-04,2016,4,4,1,2,1,0,0.5,1.4,,,179,0.152,0.022,0.005,0.1,,0.42,2.5,6.07,0.82,0.025,0.027,0.012,0.017,0.0038,0.01853008536,0.0101,0.003,42,66,2,4.4,0.52,14,16,,,,,5,3.8
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,524441,2016-08-10,2016,8,10,1,3,1,0,0.5,4.5,,,160,0.506,0.074,0.027,0.42,,0.49,1.2,7,2.76,0.112,0.12,0.053,0.065,0.012,0.07703518634,0.031,0.0068,6,1.5,0.5,3.2,1.6,20,30,,,,,5.9,18
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,543778,2016-10-13,2016,10,13,1,4,1,0,0.5,4.7,,,200,0.559,0.089,0.034,0.52,,0.57,2.7,6.7,2.77,0.116,0.12,0.053,0.065,0.012,0.07703518634,0.031,0.0074,8,4,0.5,3.3,1.6,19,26,,,,,21,9.1
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,607645,2017-02-14,2017,2,14,1,1,1,0,0.5,5.1,,,386,0.56,0.081,0.029,0.44,,0.32,0.8,6.69,3.33,0.131,0.14,0.06,0.078,0.016,0.09369144285,0.039,0.0089,42,28,0.5,7.8,2,20,31,,,,,7.5,0.9
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,627733,2017-04-18,2017,4,18,1,2,1,0,0.5,4,,,197,0.539,0.084,0.03,0.46,,0.36,,6.44,2.78,0.112,0.12,0.052,0.065,0.012,0.07703518634,0.031,0.0068,7,32,0.5,5.5,1.9,31,37,,,,,5.8,5.2
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,688675,2017-08-15,2017,8,15,1,3,1,0,0.5,4.1,,,178,0.417,0.055,0.02,0.32,,0.35,2,6.94,2.75,0.115,0.12,0.051,0.065,0.011,0.07703518634,0.031,0.0079,3,1.5,0.5,3.1,1.3,12,18,,,,,6.9,18.5
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,704121,2017-10-12,2017,10,12,1,4,1,0,0.5,4.9,,,182,0.435,0.06,0.022,0.34,,0.73,1.3,6.7,2.93,0.124,0.13,0.055,0.065,0.014,0.07495315428,0.031,0.0084,19,7,0.5,5,1.4,26,24,,,,,,9.7
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,720280,2018-02-14,2018,2,14,1,1,1,0,0.5,4.9,,,418,0.54,0.084,0.031,0.46,,0.57,0.25,6.57,3.38,0.116,0.14,0.06,0.091,0.015,0.08744534666,0.054,0.0079,48,49,2,7.4,2.2,36,48,,,,,6,0.8
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,730776,2018-04-17,2018,4,17,1,2,1,0,0.5,4.2,,,391,0.411,0.068,0.026,0.42,,1.7,0.25,6.43,2.14,0.08,0.095,0.041,0.057,0.012,0.06037892984,0.031,0.0058,57,75,0.5,6.4,1.5,57,55,,,,,6.3,0.9
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,748499,2018-08-22,2018,8,22,1,3,1,0,0.5,4.8,,,251,0.44,0.057,0.021,0.32,,0.6,1.2,6.84,2.82,0.114,0.13,0.055,0.07,0.013,0.08119925047,0.034,0.0074,13,1.5,0.5,2.2,1.8,18,29,,,,5.4,,18
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,756998,2018-10-23,2018,10,23,1,4,1,0,0.5,4.3,,,213,0.424,0.058,0.02,0.32,,0.64,1.4,6.73,2.82,0.114,0.12,0.05,0.065,0.012,0.07911721841,0.031,0.0074,11,7,0.5,5.1,1.7,15,27,,,,5.9,,8.2
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,768668,2019-02-18,2019,2,18,1,1,1,0,0.5,4.2,,,443,0.451,0.059,0.021,0.3,,0.62,0.25,6.48,3.22,0.103,0.13,0.058,0.074,0.014,0.09369144285,0.045,0.0063,48,266,0.5,4.9,1.7,14,24,,,,,4.5,1.5
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,777001,2019-04-14,2019,4,14,1,2,1,0,0.5,4.3,,,228,0.49,0.076,0.028,0.42,,0.64,3.6,6.34,2.61,0.095,0.11,0.048,0.061,0.012,0.07911721841,0.031,0.0068,11,37,0.5,5.5,1.8,25,47,,,,,6,3.8
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,818030,2019-08-13,2019,8,13,1,3,1,0,0.5,3.9,,,180,0.414,0.054,0.02,0.3,,0.68,1.4,6.97,2.81,0.109,0.13,0.057,0.07,0.012,0.08744534666,0.034,0.0074,6,0.5,0.5,2.5,1.5,15,24,,,,6.2,,19.4
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,816967,2019-10-14,2019,10,14,1,4,1,0,0.5,3.6,,,183,0.396,0.055,0.02,0.32,,0.61,1.9,6.73,2.98,0.111,0.13,0.056,0.07,0.013,0.08328128253,0.034,0.0074,9,4,0.5,5.8,1.7,19,23,,,,6.4,,8
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,829058,2020-02-12,2020,2,12,1,1,1,0,0.5,5.6,,,730,0.617,0.095,0.036,0.56,,0.79,0.5,6.25,2.75,0.079,0.11,0.049,0.07,0.015,0.07703518634,0.042,0.0074,90,96,2,9.2,2,40,65,,10.03,,,5.3,2.1
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,859402,2020-04-15,2020,4,15,1,2,1,0,0.5,4.6,,,221,0.553,0.09,0.033,0.5,,0.86,1.1,6.57,2.85,0.1,0.13,0.055,0.07,0.012,0.08952737872,0.034,0.0079,9,47,0.5,3.5,2.3,41,60,,11.69,,6.3,,5.3
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,891546,2020-08-17,2020,8,17,1,3,1,0,0.5,4.4,,,206,0.451,0.063,0.023,0.36,,0.4,0.7,6.96,2.95,0.107,0.13,0.056,0.07,0.012,0.08952737872,0.034,0.0084,12,0.5,0.5,2.4,1.8,16,29,,9.34,,7.2,,22.1
