Date,"Total
vattenföring
[m³/s]","Total
stationskorrigerad
vattenföring
[m³/s]","Total
naturlig
vattenföring
[m³/s]","Lokal
vattenföring
[m³/s]","Vattendragstemperatur
[°C]",7-day Avg Total Vattenföring,30-day Avg Total Vattenföring,7-day Avg Lokal Vattenföring,30-day Avg Lokal Vattenföring,MD-MVM Id,Temp 1w avg,Temp 2w avg,Temp 4w avg,Temp 12w avg,Temp 52w avg,Precip 1w avg,Precip 2w avg,Precip 4w avg,Precip 12w avg,Precip 52w avg
2010-03-19,0.01,0.01,0.01,0.019,0,0.01,0.01163333333,0.01,0.004966666667,54,,,,,,,,,,
2010-03-20,0.011,0.011,0.011,0.047,0,0.01014285714,0.0116,0.01542857143,0.006433333333,54,,,,,,,,,,
2010-03-21,0.014,0.014,0.014,0.066,0,0.01071428571,0.01166666667,0.02357142857,0.008533333333,54,,,,,,,,,,
2010-03-22,0.018,0.018,0.018,0.059,0,0.01185714286,0.01183333333,0.03071428571,0.0104,54,,,,,,,,,,
2010-03-23,0.022,0.022,0.022,0.051,0,0.01357142857,0.01213333333,0.03685714286,0.012,54,,,,,,,,,,
2010-03-24,0.024,0.024,0.024,0.046,0,0.01557142857,0.0125,0.04228571429,0.01343333333,54,,,,,,,,,,
2010-03-25,0.026,0.026,0.026,0.04,0,0.01785714286,0.01293333333,0.04685714286,0.01466666667,54,,,,,,,,,,
2010-03-26,0.027,0.027,0.027,0.038,0,0.02028571429,0.01343333333,0.04957142857,0.01583333333,54,,,,,,,,,,
2010-03-27,0.029,0.029,0.029,0.045,0,0.02285714286,0.014,0.04928571429,0.01723333333,54,,,,,,,,,,
2010-03-28,0.032,0.032,0.032,0.052,0,0.02542857143,0.01463333333,0.04728571429,0.01886666667,54,,,,,,,,,,
2010-03-29,0.035,0.035,0.035,0.051,0,0.02785714286,0.01536666667,0.04614285714,0.02046666667,54,,,,,,,,,,
2010-03-30,0.036,0.036,0.036,0.048,0,0.02985714286,0.01613333333,0.04571428571,0.02196666667,54,,,,,,,,,,
2010-03-31,0.037,0.037,0.037,0.045,0,0.03171428571,0.0169,0.04557142857,0.02336666667,54,,,,,,,,,,
2010-04-01,0.039,0.039,0.039,0.054,0,0.03357142857,0.01773333333,0.04757142857,0.02506666667,54,,,,,,,,,,
2010-04-02,0.042,0.042,0.042,0.075,0,0.03571428571,0.0187,0.05285714286,0.02746666667,54,,,,,,,,,,
2010-04-03,0.046,0.046,0.046,0.096,0,0.03814285714,0.0198,0.06014285714,0.03056666667,54,,,,,,,,,,
2010-04-04,0.051,0.051,0.051,0.103,0,0.04085714286,0.0211,0.06742857143,0.0339,54,,,,,,,,,,
2010-04-05,0.056,0.056,0.056,0.092,0,0.04385714286,0.02256666667,0.07328571429,0.03686666667,54,,,,,,,,,,
2010-04-06,0.059,0.059,0.059,0.084,0,0.04714285714,0.02416666667,0.07842857143,0.03956666667,54,,,,,,,,,,
2010-04-07,0.063,0.063,0.063,0.119,0,0.05085714286,0.0259,0.089,0.04343333333,54,,,,,,,,,,
2010-04-08,0.074,0.074,0.074,0.177,0,0.05585714286,0.02803333333,0.1065714286,0.04923333333,54,,,,,,,,,,
2010-04-09,0.089,0.089,0.089,0.216,0,0.06257142857,0.03066666667,0.1267142857,0.05633333333,54,,,,,,,,,,
2010-04-10,0.107,0.107,0.107,0.236,0,0.07128571429,0.0339,0.1467142857,0.064,54,,,,,,,,,,
2010-04-11,0.126,0.126,0.126,0.25,0,0.082,0.03776666667,0.1677142857,0.072,54,,,,,,,,,,
2010-04-12,0.147,0.147,0.147,0.274,0,0.095,0.04233333333,0.1937142857,0.08083333333,54,,,,,,,,,,
2010-04-13,0.17,0.17,0.17,0.308,0,0.1108571429,0.04766666667,0.2257142857,0.0908,54,,,,,,,,,,
2010-04-14,0.196,0.196,0.196,0.332,1.3,0.1298571429,0.05386666667,0.2561428571,0.1015666667,54,,,,,,,,,,
2010-04-15,0.221,0.221,0.221,0.332,2.4,0.1508571429,0.0609,0.2782857143,0.1123666667,54,,,,,,,,,,
2010-04-16,0.238,0.238,0.238,0.288,3.1,0.1721428571,0.0685,0.2885714286,0.1217,54,,,,,,,,,,
2010-04-17,0.244,0.244,0.244,0.244,3.9,0.1917142857,0.0763,0.2897142857,0.1295666667,54,,,,,,,,,,
2010-04-18,0.24,0.24,0.24,0.202,4.3,0.208,0.08396666667,0.2828571429,0.1356666667,54,,,,,,,,,,
2010-04-19,0.228,0.228,0.228,0.166,4.6,0.2195714286,0.0912,0.2674285714,0.1396333333,54,,,,,,,,,,
2010-04-20,0.213,0.213,0.213,0.136,4.7,0.2257142857,0.09783333333,0.2428571429,0.1419666667,54,,,,,,,,,,
2010-04-21,0.197,0.197,0.197,0.112,4.8,0.2258571429,0.1038,0.2114285714,0.1437333333,54,,,,,,,,,,
2010-04-22,0.18,0.18,0.18,0.092,5.1,0.22,0.1090666667,0.1771428571,0.1451,54,,,,,,,,,,
2010-04-23,0.164,0.164,0.164,0.076,5.3,0.2094285714,0.1137333333,0.1468571429,0.1461,54,,,,,,,,,,
2010-04-24,0.148,0.148,0.148,0.061,5.9,0.1957142857,0.1178,0.1207142857,0.1468,54,,,,,,,,,,
2010-04-25,0.133,0.133,0.133,0.048,6.6,0.1804285714,0.1213333333,0.09871428571,0.1471333333,54,,,,,,,,,,
2010-04-26,0.119,0.119,0.119,0.039,7.4,0.1648571429,0.1243333333,0.08057142857,0.1469333333,54,,,,,,,,,,
2010-04-27,0.107,0.107,0.107,0.033,8.1,0.1497142857,0.1268333333,0.06585714286,0.1463,54,,,,,,,,,,
2010-04-28,0.096,0.096,0.096,0.028,8,0.1352857143,0.1288666667,0.05385714286,0.1455333333,54,,,,,,,,,,
2010-04-29,0.087,0.087,0.087,0.027,9,0.122,0.1305666667,0.04457142857,0.1448333333,54,,,,,,,,,,
2010-04-30,0.079,0.079,0.079,0.023,9.9,0.1098571429,0.1319666667,0.037,0.1441,54,,,,,,,,,,
2010-05-01,0.073,0.073,0.073,0.021,10,0.09914285714,0.1331,0.03128571429,0.143,54,,,,,,,,,,
2010-05-02,0.068,0.068,0.068,0.026,9.7,0.08985714286,0.1339666667,0.02814285714,0.1413666667,54,,,,,,,,,,
2010-05-03,0.064,0.064,0.064,0.023,9.5,0.082,0.1345666667,0.02585714286,0.1389333333,54,,,,,,,,,,
2010-05-04,0.06,0.06,0.06,0.024,9,0.07528571429,0.1348666667,0.02457142857,0.1363,54,,,,,,,,,,
2010-05-05,0.057,0.057,0.057,0.027,8.9,0.06971428571,0.1349,0.02442857143,0.1341333333,54,,,,,,,,,,
2010-05-06,0.053,0.053,0.053,0.024,9.1,0.06485714286,0.1347,0.024,0.1321333333,54,,,,,,,,,,
2010-05-07,0.05,0.05,0.05,0.021,9.1,0.06071428571,0.1342666667,0.02371428571,0.1288666667,54,,,,,,,,,,
2010-05-08,0.047,0.047,0.047,0.019,9.2,0.057,0.1333666667,0.02342857143,0.1236,54,,,,,,,,,,
2010-05-09,0.044,0.044,0.044,0.018,9.6,0.05357142857,0.1318666667,0.02228571429,0.117,54,,,,,,,,,,
2010-05-10,0.041,0.041,0.041,0.016,9.8,0.05028571429,0.1296666667,0.02128571429,0.1096666667,54,,,,,,,,,,
2010-05-11,0.039,0.039,0.039,0.015,9.9,0.04728571429,0.1267666667,0.02,0.1018333333,54,,,,,,,,,,
2010-05-12,0.04,0.04,0.04,0.032,10,0.04485714286,0.1232,0.02071428571,0.09376666667,54,,,,,,,,,,
2010-05-13,0.052,0.052,0.052,0.142,10.2,0.04471428571,0.1192666667,0.03757142857,0.08823333333,54,,,,,,,,,,
2010-05-14,0.072,0.072,0.072,0.21,11,0.04785714286,0.1151333333,0.06457142857,0.08416666667,54,,,,,,,,,,
2010-05-15,0.089,0.089,0.089,0.189,12.5,0.05385714286,0.1107333333,0.08885714286,0.0794,54,,,,,,,,,,
2010-05-16,0.1,0.1,0.1,0.16,13.3,0.06185714286,0.1061333333,0.1091428571,0.07513333333,54,,,,,,,,,,
2010-05-17,0.105,0.105,0.105,0.127,14,0.071,0.1015,0.125,0.07123333333,54,,,,,,,,,,
2010-05-18,0.104,0.104,0.104,0.089,14.9,0.08028571429,0.09696666667,0.1355714286,0.06746666667,54,,,,,,,,,,
2010-05-19,0.098,0.098,0.098,0.059,15.6,0.08857142857,0.09263333333,0.1394285714,0.0639,54,,,,,,,,,,
2010-05-20,0.098,0.098,0.098,0.095,16.6,0.09514285714,0.0888,0.1327142857,0.06253333333,54,,,,,,,,,,
2010-05-21,0.1,0.1,0.1,0.096,16.9,0.09914285714,0.08556666667,0.1164285714,0.062,54,,,,,,,,,,
2010-05-22,0.107,0.107,0.107,0.149,17.3,0.1017142857,0.08313333333,0.1107142857,0.0639,54,,,,,,,,,,
2010-05-23,0.127,0.127,0.127,0.22,16.7,0.1055714286,0.0819,0.1192857143,0.0687,54,,,,,,,,,,
2010-05-24,0.144,0.144,0.144,0.205,16,0.1111428571,0.08176666667,0.1304285714,0.0735,54,,,,,,,,,,
2010-05-25,0.148,0.148,0.148,0.159,15.4,0.1174285714,0.08226666667,0.1404285714,0.0772,54,,,,,,,,,,
2010-05-26,0.146,0.146,0.146,0.121,15,0.1242857143,0.08316666667,0.1492857143,0.07993333333,54,12.77142857,13.47142857,10.49285714,4.619047619,4.478571429,,,,,
2010-05-27,0.138,0.138,0.138,0.091,14.7,0.13,0.0842,0.1487142857,0.08186666667,54,,,,,,,,,,
2010-05-28,0.129,0.129,0.129,0.069,14.9,0.1341428571,0.0853,0.1448571429,0.08323333333,54,,,,,,,,,,
2010-05-29,0.119,0.119,0.119,0.06,14.7,0.1358571429,0.08636666667,0.1321428571,0.08433333333,54,,,,,,,,,,
2010-05-30,0.11,0.11,0.11,0.047,15.1,0.1334285714,0.0874,0.1074285714,0.08513333333,54,,,,,,,,,,
2010-05-31,0.099,0.099,0.099,0.038,15.7,0.127,0.08826666667,0.08357142857,0.0857,54,,,,,,,,,,
2010-06-01,0.089,0.089,0.089,0.028,16.1,0.1185714286,0.08896666667,0.06485714286,0.08576666667,54,,,,,,,,,,
2010-06-02,0.08,0.08,0.08,0.023,16.8,0.1091428571,0.0895,0.05085714286,0.08576666667,54,,,,,,,,,,
2010-06-03,0.071,0.071,0.071,0.019,17.5,0.09957142857,0.08986666667,0.04057142857,0.0856,54,,,,,,,,,,
2010-06-04,0.064,0.064,0.064,0.016,17.4,0.09028571429,0.0901,0.033,0.08523333333,54,,,,,,,,,,
2010-06-05,0.058,0.058,0.058,0.014,17.1,0.08157142857,0.09026666667,0.02642857143,0.0849,54,,,,,,,,,,
2010-06-06,0.053,0.053,0.053,0.013,17.2,0.07342857143,0.09036666667,0.02157142857,0.08463333333,54,,,,,,,,,,
2010-06-07,0.049,0.049,0.049,0.012,16.7,0.06628571429,0.09043333333,0.01785714286,0.0844,54,,,,,,,,,,
2010-06-08,0.044,0.044,0.044,0.011,16.9,0.05985714286,0.09043333333,0.01542857143,0.08416666667,54,,,,,,,,,,
2010-06-09,0.04,0.04,0.04,0.01,17.2,0.05414285714,0.0904,0.01357142857,0.08396666667,54,,,,,,,,,,
2010-06-10,0.037,0.037,0.037,0.009,17.6,0.04928571429,0.09033333333,0.01214285714,0.08376666667,54,,,,,,,,,,
2010-06-11,0.04,0.04,0.04,0.04,17.5,0.04585714286,0.09033333333,0.01557142857,0.08403333333,54,,,,,,,,,,
2010-06-12,0.054,0.054,0.054,0.137,17,0.04528571429,0.0904,0.03314285714,0.08386666667,54,,,,,,,,,,
2010-06-13,0.069,0.069,0.069,0.158,17,0.04757142857,0.0903,0.05385714286,0.08213333333,54,,,,,,,,,,
2010-06-14,0.076,0.076,0.076,0.121,16.7,0.05142857143,0.08986666667,0.06942857143,0.07986666667,54,,,,,,,,,,
2010-06-15,0.078,0.078,0.078,0.087,16.6,0.05628571429,0.08913333333,0.08028571429,0.07743333333,54,,,,,,,,,,
2010-06-16,0.076,0.076,0.076,0.059,16.8,0.06142857143,0.08816666667,0.08728571429,0.07516666667,54,,,,,,,,,,
2010-06-17,0.075,0.075,0.075,0.068,17.5,0.06685714286,0.0872,0.09571428571,0.07446666667,54,,,,,,,,,,
2010-06-18,0.077,0.077,0.077,0.078,17.1,0.07214285714,0.0865,0.1011428571,0.0751,54,,,,,,,,,,
2010-06-19,0.078,0.078,0.078,0.075,16.9,0.07557142857,0.08583333333,0.09228571429,0.07443333333,54,,,,,,,,,,
2010-06-20,0.076,0.076,0.076,0.059,16.4,0.07657142857,0.08503333333,0.07814285714,0.0732,54,,,,,,,,,,
2010-06-21,0.072,0.072,0.072,0.045,16.5,0.076,0.08386666667,0.06728571429,0.06973333333,54,,,,,,,,,,
2010-06-22,0.067,0.067,0.067,0.035,17.2,0.07442857143,0.08186666667,0.05985714286,0.06356666667,54,,,,,,,,,,
2010-06-23,0.062,0.062,0.062,0.025,17.9,0.07242857143,0.07913333333,0.055,0.05756666667,54,,,,,,,,,,
2010-06-24,0.056,0.056,0.056,0.02,18.7,0.06971428571,0.07606666667,0.04814285714,0.05293333333,54,,,,,,,,,,
2010-06-25,0.054,0.054,0.054,0.023,19.1,0.06642857143,0.073,0.04028571429,0.04966666667,54,,,,,,,,,,
2010-06-26,0.052,0.052,0.052,0.031,19.3,0.06271428571,0.07013333333,0.034,0.04766666667,54,,,,,,,,,,
2010-06-27,0.048,0.048,0.048,0.022,19.5,0.05871428571,0.06743333333,0.02871428571,0.0461,54,,,,,,,,,,
2010-06-28,0.044,0.044,0.044,0.018,20.2,0.05471428571,0.06493333333,0.02485714286,0.0447,54,,,,,,,,,,
2010-06-29,0.041,0.041,0.041,0.016,20.9,0.051,0.06263333333,0.02214285714,0.04366666667,54,,,,,,,,,,
2010-06-30,0.039,0.039,0.039,0.015,20.9,0.04771428571,0.06063333333,0.02071428571,0.0429,54,,,,,,,,,,
2010-07-01,0.036,0.036,0.036,0.013,21.1,0.04485714286,0.05886666667,0.01971428571,0.0424,54,,,,,,,,,,
2010-07-02,0.033,0.033,0.033,0.011,21.4,0.04185714286,0.0573,0.018,0.042,54,,,,,,,,,,
2010-07-03,0.03,0.03,0.03,0.01,22.4,0.03871428571,0.05593333333,0.015,0.0417,54,,,,,,,,,,
2010-07-04,0.027,0.027,0.027,0.008,23.2,0.03571428571,0.0547,0.013,0.04143333333,54,,,,,,,,,,
2010-07-05,0.025,0.025,0.025,0.007,23.2,0.033,0.0536,0.01142857143,0.0412,54,,,,,,,,,,
2010-07-06,0.023,0.023,0.023,0.006,23,0.03042857143,0.0526,0.01,0.04096666667,54,,,,,,,,,,
2010-07-07,0.02,0.02,0.02,0.005,23,0.02771428571,0.05163333333,0.008571428571,0.04073333333,54,,,,,,,,,,
2010-07-08,0.019,0.019,0.019,0.004,22.9,0.02528571429,0.0508,0.007285714286,0.0405,54,,,,,,,,,,
2010-07-09,0.017,0.017,0.017,0.003,22.9,0.023,0.05003333333,0.006142857143,0.04026666667,54,,,,,,,,,,
2010-07-10,0.015,0.015,0.015,0.003,23.2,0.02085714286,0.0493,0.005142857143,0.04006666667,54,,,,,,,,,,
2010-07-11,0.014,0.014,0.014,0.005,23.5,0.019,0.04843333333,0.004714285714,0.0389,54,,,,,,,,,,
2010-07-12,0.014,0.014,0.014,0.003,24.2,0.01742857143,0.0471,0.004142857143,0.03443333333,54,,,,,,,,,,
2010-07-13,0.014,0.014,0.014,0.01,24.4,0.01614285714,0.04526666667,0.004714285714,0.0295,54,,,,,,,,,,
2010-07-14,0.014,0.014,0.014,0.004,24.4,0.01528571429,0.0432,0.004571428571,0.0256,54,,,,,,,,,,
2010-07-15,0.014,0.014,0.014,0.004,24,0.01457142857,0.04106666667,0.004571428571,0.02283333333,54,,,,,,,,,,
2010-07-16,0.013,0.013,0.013,0.004,24,0.014,0.03896666667,0.004714285714,0.021,54,,,,,,,,,,
2010-07-17,0.014,0.014,0.014,0.017,24.1,0.01385714286,0.03693333333,0.006714285714,0.0193,54,,,,,,,,,,
2010-07-18,0.015,0.015,0.015,0.008,23.8,0.014,0.03486666667,0.007142857143,0.01696666667,54,,,,,,,,,,
2010-07-19,0.013,0.013,0.013,0.006,23.3,0.01385714286,0.0327,0.007571428571,0.01466666667,54,,,,,,,,,,
2010-07-20,0.012,0.012,0.012,0.005,23.3,0.01357142857,0.03056666667,0.006857142857,0.01286666667,54,,,,,,,,,,
2010-07-21,0.011,0.011,0.011,0.004,23.7,0.01314285714,0.02853333333,0.006857142857,0.0115,54,,,,,,,,,,
2010-07-22,0.01,0.01,0.01,0.004,23.8,0.01257142857,0.02663333333,0.006857142857,0.01046666667,54,,,,,,,,,,
2010-07-23,0.01,0.01,0.01,0.004,22.3,0.01214285714,0.0249,0.006857142857,0.009766666667,54,,,,,,,,,,
2010-07-24,0.009,0.009,0.009,0.004,21,0.01142857143,0.02333333333,0.005,0.009233333333,54,,,,,,,,,,
2010-07-25,0.01,0.01,0.01,0.008,19.8,0.01071428571,0.02186666667,0.005,0.008733333333,54,,,,,,,,,,
2010-07-26,0.011,0.011,0.011,0.006,19.7,0.01042857143,0.0205,0.005,0.0079,54,,,,,,,,,,
2010-07-27,0.01,0.01,0.01,0.005,20.2,0.01014285714,0.01923333333,0.005,0.007333333333,54,,,,,,,,,,
2010-07-28,0.009,0.009,0.009,0.005,20.6,0.009857142857,0.01806666667,0.005142857143,0.0069,54,,,,,,,,,,
2010-07-29,0.01,0.01,0.01,0.015,20.7,0.009857142857,0.01703333333,0.006714285714,0.006866666667,54,,,,,,,,,,
2010-07-30,0.012,0.012,0.012,0.025,20.7,0.01014285714,0.01613333333,0.009714285714,0.0072,54,,,,,,,,,,
2010-07-31,0.014,0.014,0.014,0.03,20.6,0.01085714286,0.0154,0.01342857143,0.007766666667,54,,,,,,,,,,
2010-08-01,0.014,0.014,0.014,0.024,20.7,0.01142857143,0.01476666667,0.01571428571,0.0082,54,,,,,,,,,,
2010-08-02,0.014,0.014,0.014,0.018,20.5,0.01185714286,0.01423333333,0.01742857143,0.008466666667,54,,,,,,,,,,
2010-08-03,0.013,0.013,0.013,0.011,20.6,0.01228571429,0.01376666667,0.01828571429,0.008566666667,54,,,,,,,,,,
2010-08-04,0.012,0.012,0.012,0.008,20.4,0.01271428571,0.01333333333,0.01871428571,0.0086,54,,,,,,,,,,
